name,movie,date,rating
Andrea Dumas,The Lord of the Rings: The Return of the King (2003),2020-08-25,3
Andrea Terra,Fight Club (1999),2020-10-31,3
Andrea Franco,The Lord of the Rings: The Two Towers (2002),2020-08-14,2
Andrea Dumas,The Lord of the Rings: The Two Towers (2002),2021-03-02,1
Andrea Dumas,Star Wars: Episode V - The Empire Strikes Back (1980),2020-10-28,2
Andrea Rordorf,Inception (2010),2021-05-09,2
Andrea Dromard,The Dark Knight (2008),2021-01-15,4
Andrea Franco,Schindler's List (1993),2021-04-22,4
Andrea Dromard,Fight Club (1999),2021-03-05,2
Andrea Franco,The Shawshank Redemption (1994),2020-08-08,5
Andrea Dromard,The Godfather (1972),2021-02-22,4
Andrea Franco,"The Good, the Bad and the Ugly (1966)",2021-03-06,3
Andrea Rordorf,The Shawshank Redemption (1994),2021-02-02,5
Andrea Dromard,"The Good, the Bad and the Ugly (1966)",2021-04-25,2
Andrea Terra,The Dark Knight (2008),2021-04-14,4
Andrea Dromard,Seven (1995),2021-02-06,0
Andrea Franco,Inception (2010),2021-06-07,2
Andrea Terra,The Lord of the Rings: The Return of the King (2003),2020-07-04,2
Andrea Rordorf,12 Angry Men (1957),2020-07-24,3
Andrea Dumas,The Godfather: Part II (1974),2020-09-29,4
Andrea Terra,Star Wars: Episode V - The Empire Strikes Back (1980),2020-10-16,1
Andrea Rordorf,The Matrix (1999),2021-02-19,1
Andrea Dumas,The Shawshank Redemption (1994),2020-12-26,5
Andrea Terra,Forrest Gump (1994),2021-01-08,2
Andrea Rordorf,Pulp Fiction (1994),2020-09-01,2
