name,movie,date,rating
Julien La Spada,Star Wars: Episode V - The Empire Strikes Back (1980),2020-07-02,2
Raphaël Mérot,The Matrix (1999),2020-12-23,2
Murièle Rossi,Star Wars: Episode V - The Empire Strikes Back (1980),2020-11-05,2
Frédéric Dromard,The Matrix (1999),2021-05-29,1
Laurence Rouge,The Dark Knight (2008),2021-03-23,3
Mélissa Gerez,Forrest Gump (1994),2021-02-18,1
Mouhssine Gerez,The Shawshank Redemption (1994),2021-05-03,4
Olivier Jacquier,Forrest Gump (1994),2020-08-20,2
Corentin Mérot,The Lord of the Rings: The Fellowship of the Ring (2001),2020-08-18,3
Simon Olsen,"The Good, the Bad and the Ugly (1966)",2020-10-28,2
Olivier Terra,The Godfather: Part II (1974),2020-08-24,4
Enea Franco,The Shawshank Redemption (1994),2020-11-26,4
Simon Rouge,The Shawshank Redemption (1994),2021-04-21,5
Antonio Tristan Kocher,"The Good, the Bad and the Ugly (1966)",2021-04-04,2
Antonio Gerez,12 Angry Men (1957),2021-04-24,3
Raphaël La Spada,The Lord of the Rings: The Two Towers (2002),2021-04-09,1
Manuel Milio,The Lord of the Rings: The Two Towers (2002),2021-05-16,2
Arthur Terra,Forrest Gump (1994),2021-06-05,2
Andrea Tristan Kocher,Star Wars: Episode V - The Empire Strikes Back (1980),2020-12-20,1
Laurence Nicolier,Star Wars: Episode V - The Empire Strikes Back (1980),2021-05-12,1
Christophe Andoine,The Godfather: Part II (1974),2021-02-28,3
Mouhssine Verdan,The Godfather: Part II (1974),2020-11-22,4
Christophe Andoine,Star Wars: Episode V - The Empire Strikes Back (1980),2020-11-06,2
Simon Bouriche,Pulp Fiction (1994),2021-02-15,2
Marie Badillo,"The Good, the Bad and the Ugly (1966)",2021-04-02,2
Antonio Kunz,Inception (2010),2020-10-17,1
Patrick Lavanchy,12 Angry Men (1957),2020-08-24,4
Exupéry Bouriche,The Lord of the Rings: The Fellowship of the Ring (2001),2020-10-26,3
Olivier Philippe Andoine,The Lord of the Rings: The Fellowship of the Ring (2001),2020-12-07,3
Simon Lavanchy,12 Angry Men (1957),2021-04-10,3
Arthur Andoine,12 Angry Men (1957),2021-04-18,3
Simon Lavanchy,The Lord of the Rings: The Return of the King (2003),2020-09-29,3
Marie Pravaz,The Dark Knight (2008),2021-03-08,4
Mélissa Andoine,Schindler's List (1993),2021-04-08,4
Simon Pravaz,The Lord of the Rings: The Return of the King (2003),2021-01-03,3
Mouhssine Verdan,Pulp Fiction (1994),2020-07-22,2
Quentin Di Marco,The Lord of the Rings: The Two Towers (2002),2021-04-23,1
Nicolas Mérot,12 Angry Men (1957),2021-05-30,4
Mohammed Rordorf,Forrest Gump (1994),2020-12-02,2
Quentin Rordorf,Star Wars: Episode V - The Empire Strikes Back (1980),2020-11-27,2
Olivier Philippe Jacquier,Star Wars: Episode V - The Empire Strikes Back (1980),2020-10-05,1
Antonio Montmollin,Fight Club (1999),2020-11-06,2
Marie Fragnière,The Lord of the Rings: The Two Towers (2002),2020-12-21,1
Arthur Dumas,Star Wars: Episode V - The Empire Strikes Back (1980),2020-11-02,1
Andrea Stella,Pulp Fiction (1994),2021-03-03,2
Georges Dumas,The Godfather (1972),2021-03-26,4
Antonio Kairouani,Goodfellas (1990),2021-03-01,1
Frédéric Gerez,Schindler's List (1993),2021-02-05,4
Corentin Lavanchy,One Flew Over the Cuckoo's Nest (1975),2021-06-22,0
Andrea Mettreaux,The Godfather: Part II (1974),2020-10-02,4
Quentin Dromard,12 Angry Men (1957),2021-04-29,4
Julia Pravaz,The Godfather: Part II (1974),2021-02-17,4
Mélissa Dumas,Fight Club (1999),2020-10-25,3
Olivier Mettreaux,The Matrix (1999),2021-03-26,1
Olivier Philippe Zanoun,Fight Club (1999),2020-07-31,2
Laurence Fragnière,Pulp Fiction (1994),2021-03-04,3
Frédéric Rami,The Godfather (1972),2021-01-22,3
Frédéric Badillo,12 Angry Men (1957),2021-01-21,3
Yannick Dumas,12 Angry Men (1957),2021-01-18,4
Mélissa Verdan,"The Good, the Bad and the Ugly (1966)",2021-05-25,2
Mélissa Rouge,12 Angry Men (1957),2020-10-27,4
Arthur Kunz,Pulp Fiction (1994),2021-06-23,3
Yannick Rouge,"The Good, the Bad and the Ugly (1966)",2020-12-04,3
Christophe Rouge,The Shawshank Redemption (1994),2021-03-06,4
Mohammed Rouge,Inception (2010),2020-11-13,1
Exupéry Andoine,"The Good, the Bad and the Ugly (1966)",2021-05-19,3
Mélissa Andoine,Goodfellas (1990),2020-11-12,0
Mouhssine Gerez,The Lord of the Rings: The Return of the King (2003),2021-04-02,2
Arthur Fragnière,Forrest Gump (1994),2020-07-12,2
Marie Dromard,The Dark Knight (2008),2020-07-20,3
Mélissa Mutti,The Lord of the Rings: The Fellowship of the Ring (2001),2020-09-05,3
Sylvain Badillo,Inception (2010),2020-11-12,2
Marie Mutti,The Lord of the Rings: The Fellowship of the Ring (2001),2020-08-05,2
Georges Mutti,The Godfather: Part II (1974),2021-06-15,3
Georges Milio,The Lord of the Rings: The Return of the King (2003),2020-12-24,2
Georges Berclaz,The Lord of the Rings: The Fellowship of the Ring (2001),2021-01-21,3
Georges Rouge,The Lord of the Rings: The Two Towers (2002),2020-07-14,1
Simon Rami,The Lord of the Rings: The Two Towers (2002),2021-05-10,1
Julia Mérot,The Godfather (1972),2021-03-09,3
Antonio Bouriche,The Matrix (1999),2020-12-27,2
Georges Berclaz,Forrest Gump (1994),2020-11-30,2
Simon Dumas,Forrest Gump (1994),2020-09-21,1
Mouhssine Nicolier,12 Angry Men (1957),2021-02-11,4
Frédéric Terra,Seven (1995),2021-06-19,0
Raphaël Montmollin,The Shawshank Redemption (1994),2020-12-04,5
Mouhssine Berclaz,The Matrix (1999),2021-02-22,1
Enea Nicolier,Forrest Gump (1994),2020-07-21,2
