name,movie,date,rating
Julia Dumas,Seven (1995),2021-12-15,1
Sylvain Olsen,The Dark Knight (2008),2021-09-27,3
Mélissa Verdan,The Dark Knight (2008),2021-09-06,3
Julia Dromard,The Lord of the Rings: The Fellowship of the Ring (2001),2021-07-14,3
Mouhssine Kairouani,"The Good, the Bad and the Ugly (1966)",2021-06-24,3
Andrea Rouge,Inception (2010),2022-04-21,2
Arthur Tristan Kocher,12 Angry Men (1957),2022-03-04,4
Ericka Nicolier,Inception (2010),2022-03-30,2
Manuel La Spada,"The Good, the Bad and the Ugly (1966)",2021-11-17,2
Raphaël Rordorf,Fight Club (1999),2021-06-26,2
Olivier Philippe Milio,Pulp Fiction (1994),2022-02-26,3
Marie Montmollin,"The Good, the Bad and the Ugly (1966)",2022-02-06,3
Patrick Andoine,The Lord of the Rings: The Fellowship of the Ring (2001),2022-05-28,2
Mohammed Dromard,Schindler's List (1993),2021-06-28,4
Mohammed Franco,The Lord of the Rings: The Fellowship of the Ring (2001),2021-07-05,3
Murièle Mérot,The Godfather: Part II (1974),2022-01-05,4
Mathieu Terra,The Godfather (1972),2022-02-25,3
Mouhssine Bouriche,Inception (2010),2021-07-17,1
Julien Dromard,The Lord of the Rings: The Two Towers (2002),2021-07-26,2
Patrick Dromard,The Lord of the Rings: The Return of the King (2003),2021-09-06,3
Exupéry Rami,Pulp Fiction (1994),2021-10-17,3
Yannick Bouriche,The Lord of the Rings: The Return of the King (2003),2021-10-27,3
Sylvain Terra,The Lord of the Rings: The Return of the King (2003),2021-07-06,2
Mohammed Verdan,Forrest Gump (1994),2021-11-04,1
Ericka Rordorf,The Godfather (1972),2022-05-09,3
Ericka Fragnière,The Shawshank Redemption (1994),2021-07-02,4
Mohammed Fragnière,12 Angry Men (1957),2021-06-26,3
Patrick Franco,The Godfather: Part II (1974),2021-11-24,3
Ericka Di Marco,12 Angry Men (1957),2022-03-04,4
Quentin Montmollin,The Lord of the Rings: The Two Towers (2002),2021-12-15,2
Ericka Lavanchy,Forrest Gump (1994),2022-04-12,1
Simon Montmollin,The Lord of the Rings: The Return of the King (2003),2021-11-17,2
Julia La Spada,The Lord of the Rings: The Two Towers (2002),2022-01-21,2
Patrick Dromard,The Dark Knight (2008),2022-04-26,3
Julia Lavanchy,Fight Club (1999),2021-07-10,3
Sylvain Olsen,Forrest Gump (1994),2021-11-11,1
Patrick Bouriche,12 Angry Men (1957),2022-03-25,3
Thierry Pravaz,12 Angry Men (1957),2022-04-04,4
Exupéry Kairouani,Pulp Fiction (1994),2021-09-17,3
Olivier Philippe La Spada,Schindler's List (1993),2021-12-22,4
Nicolas Kairouani,"The Good, the Bad and the Ugly (1966)",2021-10-16,3
Yannick Mettreaux,Star Wars: Episode V - The Empire Strikes Back (1980),2022-04-09,1
Arthur Terra,The Godfather: Part II (1974),2022-05-12,3
Ericka La Spada,Inception (2010),2022-01-10,1
Murièle Bouriche,The Dark Knight (2008),2022-03-31,4
Sylvain Stella,The Lord of the Rings: The Fellowship of the Ring (2001),2021-09-15,2
Mouhssine Zanoun,Fight Club (1999),2021-08-27,3
Christophe Terra,The Lord of the Rings: The Two Towers (2002),2021-09-11,2
Simon Andoine,The Lord of the Rings: The Fellowship of the Ring (2001),2021-10-19,3
Andrea Berclaz,Goodfellas (1990),2021-09-08,0
Mohammed Kunz,Fight Club (1999),2021-07-07,3
Mélissa Franco,The Dark Knight (2008),2022-03-27,3
Julien Di Marco,Schindler's List (1993),2021-07-12,4
Quentin Olsen,The Godfather: Part II (1974),2022-05-04,4
Laurence Verdan,Fight Club (1999),2021-08-08,2
Simon Mettreaux,The Godfather: Part II (1974),2021-10-02,4
Julien Mutti,Goodfellas (1990),2021-06-21,0
Christophe Rouge,Pulp Fiction (1994),2021-08-27,3
Julien Pravaz,The Shawshank Redemption (1994),2021-12-03,5
Mathieu La Spada,Fight Club (1999),2022-03-02,2
Corentin Franco,Seven (1995),2022-05-23,1
Olivier Milio,Forrest Gump (1994),2021-10-19,1
Mélissa Stella,One Flew Over the Cuckoo's Nest (1975),2021-10-05,1
Raphaël Kairouani,The Matrix (1999),2021-12-11,2
Georges Zanoun,Seven (1995),2021-09-11,0
Frédéric Lavanchy,12 Angry Men (1957),2021-08-15,3
Manuel Zanoun,Inception (2010),2021-07-25,2
Mathieu Zanoun,12 Angry Men (1957),2021-11-16,3
Nicolas Zanoun,Goodfellas (1990),2022-05-09,1
Yannick Mutti,Schindler's List (1993),2022-02-09,3
Simon Tristan Kocher,The Lord of the Rings: The Return of the King (2003),2022-01-10,3
Yannick Di Marco,The Godfather (1972),2021-06-22,3
Thierry Badillo,The Dark Knight (2008),2022-05-05,3
Marie Kairouani,Forrest Gump (1994),2022-06-06,2
Marie Mutti,Schindler's List (1993),2022-02-21,3
Sylvain Mutti,Schindler's List (1993),2022-01-02,3
Patrick Kunz,Star Wars: Episode V - The Empire Strikes Back (1980),2022-02-10,1
Frédéric Mutti,The Shawshank Redemption (1994),2022-03-28,4
Yannick Gerez,The Lord of the Rings: The Fellowship of the Ring (2001),2022-02-24,3
Antonio Mérot,The Lord of the Rings: The Return of the King (2003),2022-01-30,3
Enea Gerez,The Shawshank Redemption (1994),2021-12-19,5
Mélissa Berclaz,The Shawshank Redemption (1994),2022-04-21,5
Corentin Fragnière,The Lord of the Rings: The Fellowship of the Ring (2001),2022-01-01,2
Nicolas Andoine,12 Angry Men (1957),2021-10-30,3
Murièle Franco,The Shawshank Redemption (1994),2021-12-08,4
Mohammed Jacquier,The Lord of the Rings: The Return of the King (2003),2022-02-06,3
Michelle Rossi,The Shawshank Redemption (1994),2022-02-17,4
Olivier Philippe Mutti,Goodfellas (1990),2021-08-07,1
Laurence Rordorf,Forrest Gump (1994),2021-07-21,1
Yannick Dumas,The Lord of the Rings: The Return of the King (2003),2022-05-11,2
Patrick Mettreaux,The Godfather: Part II (1974),2022-02-27,4
Simon Rossi,"The Good, the Bad and the Ugly (1966)",2022-05-27,3
