name,movie,date,rating
Andrea Dumas,The Lord of the Rings: The Return of the King (2003),2021-08-24,3
Andrea Terra,Fight Club (1999),2021-10-30,3
Andrea Franco,The Lord of the Rings: The Two Towers (2002),2021-08-13,2
Andrea Dumas,The Lord of the Rings: The Two Towers (2002),2022-03-01,1
Andrea Dumas,Star Wars: Episode V - The Empire Strikes Back (1980),2021-10-27,2
Andrea Rordorf,Inception (2010),2022-05-08,2
Andrea Dromard,The Dark Knight (2008),2022-01-14,4
Andrea Franco,Schindler's List (1993),2022-04-21,4
Andrea Dromard,Fight Club (1999),2022-03-04,2
Andrea Franco,The Shawshank Redemption (1994),2021-08-07,5
Andrea Dromard,The Godfather (1972),2022-02-21,4
Andrea Franco,"The Good, the Bad and the Ugly (1966)",2022-03-05,3
Andrea Rordorf,The Shawshank Redemption (1994),2022-02-01,5
Andrea Dromard,"The Good, the Bad and the Ugly (1966)",2022-04-24,2
Andrea Terra,The Dark Knight (2008),2022-04-13,4
Andrea Dromard,Seven (1995),2022-02-05,0
Andrea Franco,Inception (2010),2022-06-06,2
Andrea Terra,The Lord of the Rings: The Return of the King (2003),2021-07-03,2
Andrea Rordorf,12 Angry Men (1957),2021-07-23,3
Andrea Dumas,The Godfather: Part II (1974),2021-09-28,4
Andrea Terra,Star Wars: Episode V - The Empire Strikes Back (1980),2021-10-15,1
Andrea Rordorf,The Matrix (1999),2022-02-18,1
Andrea Dumas,The Shawshank Redemption (1994),2021-12-25,5
Andrea Terra,Forrest Gump (1994),2022-01-07,2
Andrea Rordorf,Pulp Fiction (1994),2021-08-31,2
